Male,Female
ENSG00000183888,ENSG00000149527
ENSG00000117154,ENSG00000230337
ENSG00000179023,ENSG00000117115
ENSG00000162482,ENSG00000169991
ENSG00000160097,ENSG00000178828
ENSG00000085831,ENSG00000162551
ENSG00000211452,ENSG00000158014
ENSG00000116678,ENSG00000175793
ENSG00000050628,ENSG00000142748
ENSG00000178965,ENSG00000174950
ENSG00000137975,ENSG00000229167
ENSG00000181656,ENSG00000117472
ENSG00000213366,ENSG00000186160
ENSG00000143125,ENSG00000162366
ENSG00000174827,ENSG00000184292
ENSG00000007908,ENSG00000118473
ENSG00000034971,ENSG00000189334
ENSG00000116183,ENSG00000117091
ENSG00000249007,ENSG00000026751
ENSG00000174567,ENSG00000122224
ENSG00000189292,ENSG00000090104
ENSG00000228613,ENSG00000159166
ENSG00000115902,ENSG00000163485
ENSG00000235584,ENSG00000133048
ENSG00000222014,ENSG00000162896
ENSG00000115844,ENSG00000123843
ENSG00000144339,ENSG00000117595
ENSG00000115361,ENSG00000143502
ENSG00000178568,ENSG00000183780
ENSG00000204128,ENSG00000224525
ENSG00000157388,ENSG00000163032
ENSG00000056736,ENSG00000115884
ENSG00000163618,ENSG00000138028
ENSG00000185565,ENSG00000158125
ENSG00000159650,ENSG00000231826
ENSG00000114656,ENSG00000138083
ENSG00000170893,ENSG00000119888
ENSG00000181449,ENSG00000116035
ENSG00000068078,ENSG00000116039
ENSG00000156140,ENSG00000115363
ENSG00000152784,ENSG00000153563
ENSG00000138795,ENSG00000115593
ENSG00000109424,ENSG00000158050
ENSG00000185149,ENSG00000163121
ENSG00000109738,ENSG00000115221
ENSG00000120251,ENSG00000272622
ENSG00000145451,ENSG00000182600
ENSG00000185028,ENSG00000180914
ENSG00000169862,ENSG00000012223
ENSG00000113361,ENSG00000114270
ENSG00000113494,ENSG00000198643
ENSG00000164188,ENSG00000114547
ENSG00000271849,ENSG00000206384
ENSG00000145832,ENSG00000073282
ENSG00000146013,ENSG00000090530
ENSG00000164591,ENSG00000187527
ENSG00000113739,ENSG00000127249
ENSG00000253768,ENSG00000007062
ENSG00000120149,ENSG00000157765
ENSG00000160867,ENSG00000181617
ENSG00000249684,ENSG00000171199
ENSG00000197977,ENSG00000132465
ENSG00000204511,ENSG00000163631
ENSG00000237649,ENSG00000169435
ENSG00000124664,ENSG00000081041
ENSG00000204140,ENSG00000156234
ENSG00000124713,ENSG00000138798
ENSG00000164393,ENSG00000168685
ENSG00000233237,ENSG00000151882
ENSG00000118513,ENSG00000152669
ENSG00000120262,ENSG00000081059
ENSG00000091831,ENSG00000170476
ENSG00000106541,ENSG00000276365
ENSG00000173467,ENSG00000086570
ENSG00000122585,ENSG00000168269
ENSG00000225792,ENSG00000094755
ENSG00000214870,ENSG00000161055
ENSG00000106483,ENSG00000204618
ENSG00000146757,ENSG00000124780
ENSG00000005471,ENSG00000124813
ENSG00000091138,ENSG00000271857
ENSG00000159763,ENSG00000164434
ENSG00000253397,ENSG00000198729
ENSG00000253414,ENSG00000164488
ENSG00000104371,ENSG00000171243
ENSG00000181690,ENSG00000158516
ENSG00000170786,ENSG00000105894
ENSG00000178538,ENSG00000105929
ENSG00000104205,ENSG00000214128
ENSG00000137558,ENSG00000164825
ENSG00000147588,ENSG00000179388
ENSG00000271830,ENSG00000104332
ENSG00000178445,ENSG00000034239
ENSG00000236924,ENSG00000181195
ENSG00000272871,ENSG00000121005
ENSG00000178031,ENSG00000147697
ENSG00000168913,ENSG00000259820
ENSG00000238113,ENSG00000147889
ENSG00000130045,ENSG00000197506
ENSG00000106927,ENSG00000165188
ENSG00000136883,ENSG00000078725
ENSG00000225778,ENSG00000148346
ENSG00000148488,ENSG00000187796
ENSG00000077327,ENSG00000054179
ENSG00000148513,ENSG00000178372
ENSG00000237949,ENSG00000178363
ENSG00000196932,ENSG00000120594
ENSG00000166317,ENSG00000264230
ENSG00000188100,ENSG00000265190
ENSG00000152779,ENSG00000065618
ENSG00000108018,ENSG00000148735
ENSG00000278484,ENSG00000117983
ENSG00000188916,ENSG00000149043
ENSG00000175352,ENSG00000130598
ENSG00000006071,ENSG00000183378
ENSG00000110484,ENSG00000148965
ENSG00000132746,ENSG00000166833
ENSG00000132749,ENSG00000169550
ENSG00000149243,ENSG00000129151
ENSG00000178301,ENSG00000135374
ENSG00000082175,ENSG00000135373
ENSG00000168092,ENSG00000165905
ENSG00000149403,ENSG00000156689
ENSG00000151715,ENSG00000110042
ENSG00000134917,ENSG00000134827
ENSG00000048540,ENSG00000156738
ENSG00000111700,ENSG00000171219
ENSG00000165966,ENSG00000173227
ENSG00000139629,ENSG00000172927
ENSG00000172551,ENSG00000260877
ENSG00000139292,ENSG00000110195
ENSG00000196091,ENSG00000021300
ENSG00000111249,ENSG00000137673
ENSG00000166578,ENSG00000256916
ENSG00000135111,ENSG00000281655
ENSG00000255398,ENSG00000110777
ENSG00000196917,ENSG00000167286
ENSG00000180440,ENSG00000137699
ENSG00000100867,ENSG00000120471
ENSG00000100473,ENSG00000043039
ENSG00000258414,ENSG00000139193
ENSG00000129514,ENSG00000213809
ENSG00000139865,ENSG00000139144
ENSG00000258616,ENSG00000111424
ENSG00000175985,ENSG00000167531
ENSG00000259153,ENSG00000135480
ENSG00000021645,ENSG00000257671
ENSG00000119698,ENSG00000205426
ENSG00000186910,ENSG00000185479
ENSG00000168350,ENSG00000186081
ENSG00000150667,ENSG00000249641
ENSG00000233041,ENSG00000111344
ENSG00000140263,ENSG00000231817
ENSG00000140287,ENSG00000102837
ENSG00000074410,ENSG00000165799
ENSG00000212766,ENSG00000253701
ENSG00000225362,ENSG00000166922
ENSG00000261294,ENSG00000104140
ENSG00000116176,ENSG00000174171
ENSG00000277010,ENSG00000175318
ENSG00000122304,ENSG00000137868
ENSG00000278389,ENSG00000166426
ENSG00000156853,ENSG00000259604
ENSG00000103460,ENSG00000260807
ENSG00000198650,ENSG00000007038
ENSG00000260886,ENSG00000048462
ENSG00000261701,ENSG00000166828
ENSG00000154099,ENSG00000182601
ENSG00000179593,ENSG00000052344
ENSG00000126562,ENSG00000062038
ENSG00000108309,ENSG00000140873
ENSG00000262881,ENSG00000261175
ENSG00000179673,ENSG00000264067
ENSG00000075461,ENSG00000007216
ENSG00000108878,ENSG00000271503
ENSG00000108932,ENSG00000141750
ENSG00000237560,ENSG00000131746
ENSG00000262772,ENSG00000108244
ENSG00000071991,ENSG00000171346
ENSG00000266014,ENSG00000186847
ENSG00000129951,ENSG00000128422
ENSG00000172232,ENSG00000228639
ENSG00000185761,ENSG00000256124
ENSG00000174788,ENSG00000101680
ENSG00000268204,ENSG00000134762
ENSG00000183248,ENSG00000152229
ENSG00000161031,ENSG00000134443
ENSG00000186526,ENSG00000206075
ENSG00000105664,ENSG00000171236
ENSG00000124302,ENSG00000105376
ENSG00000130751,ENSG00000269289
ENSG00000088002,ENSG00000161249
ENSG00000142515,ENSG00000261857
ENSG00000167751,ENSG00000105369
ENSG00000167757,ENSG00000189377
ENSG00000101282,ENSG00000079385
ENSG00000238034,ENSG00000104783
ENSG00000101435,ENSG00000225950
ENSG00000173335,ENSG00000167754
ENSG00000118702,ENSG00000167755
ENSG00000124143,ENSG00000169035
ENSG00000276223,ENSG00000080031
ENSG00000101098,ENSG00000160471
ENSG00000275894,ENSG00000101443
ENSG00000278231,ENSG00000087510
ENSG00000064787,ENSG00000198768
ENSG00000054803,ENSG00000124205
ENSG00000101210,ENSG00000156284
ENSG00000159212,ENSG00000231106
ENSG00000183036,ENSG00000184012
ENSG00000099954,ENSG00000183421
ENSG00000100003,ENSG00000160183
ENSG00000273350,ENSG00000099958
ENSG00000272689,ENSG00000100170
ENSG00000185133,ENSG00000100139
ENSG00000236054,ENSG00000159958
ENSG00000100362,ENSG00000056998
ENSG00000100290,ENSG00000165197
ENSG00000124479,ENSG00000165349
ENSG00000008056,ENSG00000268104
ENSG00000179542,ENSG00000102243
